A,B,C,D,E1,E2,E3,F1,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G34,G35,H,I,J
3.76,-0.54,E,A,3101,19.22,12.576032,L,0.547,0.629249999999999,2.91,0,0,0,0,0.755405202531291,0.755405202531291,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,2.79208391978926
2.27,-0.41,E,A,3101,32.48,12.765095,L,0.5443,0.634,2.85,0,0,0,0,0.744216944723091,0.744216944723091,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.09182017351522
2.09,-0.45,E,A,3101,26.97,12.9254275,L,0.5416,0.749,2.8,0,0,0,0,0.734985361219194,0.734985361219194,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.39229423647919
3.02,-0.36,E,A,3101,28.86,13.10779525,L,0.5389,0.864,2.75,0,0,0,0,0.724759566258864,0.724759566258864,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.25281196519737
2.78,0.23,E,A,3101,34.68,13.356365,L,0.5362,0.979,2.69,0,0,0,0,0.711271367621355,0.711271367621355,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,2.24563973612383
3.03,0.15,E,A,3101,40.9,13.583495,L,0.5335,1.094,2.64,0,0,0,0,0.699378179179953,0.699378179179953,4.48421052631579,5852.1,10,59,,0.24,,,,A11,B,1.72647523909475
2.34,0.12,E,A,3101,48.18,13.7355105,L,0.5308,1.209,2.58,0,0,0,0,0.691637926380676,0.691637926380676,4.56259633526346,5852.1,10,59,,0.24,,,,A11,B,2.09916195805441
3.46,-0.04,E,A,3101,51.42,13.898164,L,0.5281,1.324,2.53,0,0,0,0,0.683543524166214,0.683543524166214,4.79006358426214,5852.1,10,59,,0.24,,,,A11,B,2.00079798230838
3.09,-0.27,E,A,3101,64.09,14.074865,L,0.5254,1.439,2.48,0,0,0,0,0.674962068907943,0.674962068907943,5.14688405858004,5852.1,10,59,,0.24,,,,A11,B,1.16256658319998
1.36,-0.4,E,A,3101,69.28,14.296235,L,0.5227,1.554,2.42,0,0,0,0,0.664510621153052,0.664510621153052,5.60842263315925,5852.1,10,59,,0.24,,,,A11,B,1.38450721633944
2.37,-0.52,E,A,3101,65.88,14.5081715,L,0.52,1.669,2.37,0,0,0,0,0.654803398209071,0.654803398209071,6.15115240424727,5852.1,10,59,,0.24,,,,A11,B,1.31355228359539
0.99,-0.49,E,A,3101,49.24,14.644509,L,0.5259,1.784,2.31,0,0,0,0,0.648707307291764,0.648707307291764,6.7555332814588,5852.1,10,59,,0.24,,,,A11,B,1.19544022442163
0.91,-0.56,E,A,3101,45.48,14.864185,L,0.5318,1.899,2.26,0,0,0,0,0.639120140122045,0.639120140122045,7.40648813419656,5852.1,10,59,,0.24,,,,A11,B,0.947711288779445
1.49,-0.51,E,A,3101,43.2,15.0170325,L,0.5377,2.014,2.21,0,0,0,0,0.632614999001967,0.632614999001967,8.09278602185724,5852.1,10,59,,0.24,,,,A11,B,0.788795596144851
1.3,-0.34,E,A,3101,39.4,15.211261,L,0.5436,2.129,2.15,0,0,0,0,0.624537308248146,0.624537308248146,8.80616756924474,5852.1,10,59,,0.24,,,,A11,B,1.87190442856775
0.93,-0.4,E,A,3101,23.31,15.441905,L,0.5495,2.244,2.1,0,0,0,0,0.615209069088302,0.615209069088302,9.5405592848713,5852.1,10,59,,0.24,,,,A11,B,1.00074998525038
2.65,-0.42,E,A,3101,23.17,15.66898,L,0.5554,2.359,2.04,0,0,0,0,0.60629345369003,0.60629345369003,10.2914643383314,5852.1,10,59,,0.24,,,,A11,B,1.38820163956566
1.85,-0.43,E,A,3101,23.83,15.85064,L,0.5613,2.474,1.99,0,0,0,0,0.599344884496777,0.599344884496777,11.0555184199849,5852.1,10,59,,0.24,,,,A11,B,1.84755404674036
2.04,-0.53,E,A,3101,22.48,16.1792725,L,0.5675,2.593,1.94,0,0,0,0,0.587171023913467,0.587171023913467,12.6134782591882,5852.1,10,59,,0.24,,,,A11,B,1.02571079868767
1.76,-0.68,A,A,3196,15.98,9.7513,L,0.5875,0.558,2.51,0,0,0,0,1.02550429173546,1.02550429173546,14.0279150268313,2735.2,10,48,,0.66,,,,A12,C,1.1282190937726
2.44,-0.78,A,A,3196,20.18,9.86137,L,0.584800000000001,0.56275,2.57,0,0,0,0,1.01405788445216,1.01405788445216,13.5729731451882,2735.2,10,48,,0.66,,,,A12,C,1.56264504127989
1.19,-0.72,B,A,3196,23.88,10.088325,L,0.582100000000001,0.5675,2.62,0,0,0,0,0.991244830038683,0.991244830038683,13.0068289755805,2735.2,10,48,,0.66,,,,A12,C,0.764515867200544
0.08,-0.76,B,A,3196,29.99,10.26027855,L,0.579400000000001,0.57225,2.68,0,0,0,0,0.974632408980748,0.974632408980748,12.4438579226862,2735.2,10,48,,0.66,,,,A12,C,0.054102431736851
0.32,-0.68,E,A,3196,31.33,10.4535225,L,0.576700000000001,0.577,2.74,0,0,0,0,0.956615341862038,0.956615341862038,11.8845109280946,2735.2,10,48,,0.66,,,,A12,C,0.2048
1.29,-0.39,E,A,3196,31.14,10.660883,L,0.574000000000001,0.58175,2.79,0,0,0,0,0.938008605853755,0.938008605853755,11.2188412948932,2735.2,10,48,,0.66,,,,A12,C,0.826226496014897
1.28,-0.33,E,A,3196,26.18,10.815065,L,0.571300000000001,0.5865,2.85,0,0,0,0,0.924636144119337,0.924636144119337,10.6695079549153,2735.2,10,48,,0.66,,,,A12,C,0.820751785878429
1.35,-0.42,E,A,3196,28.58,11.06253,L,0.568600000000001,0.591249999999999,2.9,0,0,0,0,0.903952350863681,0.903952350863681,10.125927118047,2735.2,10,48,,0.66,,,,A12,C,0.862472154483385
0.81,-0.44,E,A,3196,26.07,11.21262,L,0.565900000000001,0.595999999999999,2.96,0,0,0,0,0.891852216520314,0.891852216520314,9.58907711930611,2735.2,10,48,,0.66,,,,A12,C,0.518424695836757
2.06,-0.39,E,A,3196,28.08,11.390873,L,0.563200000000001,0.600749999999999,3.01,0,0,0,0,0.877895838185537,0.877895838185537,9.06015452406856,2735.2,10,48,,0.66,,,,A12,C,1.32036571190952
0.23,-0.27,E,A,3196,19.92,11.606005,L,0.560500000000001,0.605499999999999,3.07,0,0,0,0,0.861622927096792,0.861622927096792,8.54063229509385,2735.2,10,48,,0.66,,,,A12,C,0.1472
0.61,-0.23,E,A,3196,17.81,11.7651325,L,0.557800000000001,0.610249999999999,3.13,0,0,0,0,0.849969177992683,0.849969177992683,8.03233465438287,2735.2,10,48,,0.66,,,,A12,C,0.387670881616486
1.95,-0.21,E,A,3196,14.89,11.9819745,L,0.5551,0.614999999999999,3.07,0,0,0,0,0.834586987311649,0.834586987311649,7.537532752831,2735.2,10,48,,0.66,,,,A12,C,1.2471664917723
1.56,-0.25,E,A,3196,23.24,12.175325,L,0.5524,0.619749999999999,3.02,0,0,0,0,0.821333311431112,0.821333311431112,7.05906509390585,2735.2,10,48,,0.66,,,,A12,C,0.999012898342357
2.1,-0.36,E,A,3196,28.84,12.375581,L,0.5497,0.624499999999999,2.96,0,0,0,0,0.808042870876123,0.808042870876123,6.60048483067721,2735.2,10,48,,0.66,,,,A12,C,1.34356045171501
2.13,-0.34,E,A,3196,22.98,12.576032,L,0.547,0.629249999999999,2.91,0,0,0,0,0.79516337108557,0.79516337108557,6.1662306152138,2735.2,10,48,,0.66,,,,A12,C,1.36036065897201
0.8,-0.4,E,A,3196,34.75,12.765095,L,0.5443,0.634,2.85,0,0,0,0,0.783386257603253,0.783386257603253,5.76180527265544,2735.2,10,48,,0.66,,,,A12,C,0.509608254387217
1.55,-0.44,E,A,3196,29.05,12.9254275,L,0.5416,0.749,2.8,0,0,0,0,0.773668801283362,0.773668801283362,5.32541078227774,2735.2,10,48,,0.66,,,,A12,C,0.990765656620738
1.39,-0.52,E,A,3196,31.88,13.10779525,L,0.5389,0.864,2.75,0,0,0,0,0.762904806588278,0.762904806588278,5.01198563445667,2735.2,10,48,,0.66,,,,A12,C,0.891246759467776
1.83,-0.66,E,A,3196,37.47,13.356365,L,0.5362,0.979,2.69,0,0,0,0,0.748706702759321,0.748706702759321,4.75394572960189,2735.2,10,48,,0.66,,,,A12,C,1.17414494271998
0.82,-0.51,E,A,3196,43.93,13.583495,L,0.5335,1.094,2.64,0,0,0,0,0.73618755703153,0.73618755703153,4.56070170039655,2735.2,10,48,,0.66,,,,A12,C,0.527198589850286
2.35,-0.59,E,A,3196,50.53,13.7355105,L,0.5308,1.209,2.58,0,0,0,0,0.728039922505975,0.728039922505975,4.4407206622349,2735.2,10,48,,0.66,,,,A12,C,1.50510510048207
0.87,-0.52,E,A,3196,54.89,13.898164,L,0.5281,1.324,2.53,0,0,0,0,0.71951949912233,0.71951949912233,4.4,2735.2,10,48,,0.66,,,,A12,C,0.558116496366665
0.7,-0.39,E,A,3196,67.17,14.074865,L,0.5254,1.439,2.48,0,0,0,0,0.710486388324151,0.710486388324151,4.4,2735.2,10,48,,0.66,,,,A12,C,0.448423317951097
3.24,-0.28,E,A,3196,70.64,14.296235,L,0.5227,1.554,2.42,0,0,0,0,0.699484864371633,0.699484864371633,4.4,2735.2,10,48,,0.66,,,,A12,C,2.07255819147576
1.71,0.13,E,A,3196,68.25,14.5081715,L,0.52,1.669,2.37,0,0,0,0,0.689266734956917,0.689266734956917,4.4407206622349,2735.2,10,48,,0.66,,,,A12,C,1.0954937027293
2.67,0.2,E,A,3196,50.23,14.644509,L,0.5259,1.784,2.31,0,0,0,0,0.682849797149225,0.682849797149225,4.56070170039655,2735.2,10,48,,0.66,,,,A12,C,1.70713928645796
1.54,0.18,E,A,3196,46.4,14.864185,L,0.5318,1.899,2.26,0,0,0,0,0.672758042233732,0.672758042233732,4.75394572960189,2735.2,10,48,,0.66,,,,A12,C,0.985991222723328
1.33,0.16,E,A,3196,44.7,15.0170325,L,0.5377,2.014,2.21,0,0,0,0,0.665910525265228,0.665910525265228,5.01198563445667,2735.2,10,48,,0.66,,,,A12,C,0.849082970732411
3.17,0.16,E,A,3196,40.7,15.211261,L,0.5436,2.129,2.15,0,0,0,0,0.657407692892785,0.657407692892785,5.32541078227774,2735.2,10,48,,0.66,,,,A12,C,2.0265748604703
1.2,0.19,E,A,3196,24.24,15.441905,L,0.5495,2.244,2.1,0,0,0,0,0.64758849377716,0.64758849377716,5.68506816142076,2735.2,10,48,,0.66,,,,A12,C,0.765511020488248
1.06,0.26,E,A,3196,25.82,15.66898,L,0.5554,2.359,2.04,0,0,0,0,0.638203635463189,0.638203635463189,6.08276253029822,2735.2,10,48,,0.66,,,,A12,C,0.679816211970774
2.56,0.32,E,A,3196,25.68,15.85064,L,0.5613,2.474,1.99,0,0,0,0,0.630889352101871,0.630889352101871,6.51152823843988,2735.2,10,48,,0.66,,,,A12,C,1.63681386742041
0.24,0.43,E,A,3196,24.51,16.1792725,L,0.5675,2.593,1.94,0,0,0,0,0.618074762014176,0.618074762014176,7.44043009509531,2735.2,10,48,,0.66,,,,A12,C,0.154667364839156
1.71,-0.17,A,A,3276,15.84,9.7513,L,0.5875,0.558,2.51,0,0,0,0,1.02550429173546,1.02550429173546,7.05761999543756,1191.3,15,29,,0.5,,,,A13,C,1.09723532304656
1.03,0.13,A,A,3276,21.32,9.86137,L,0.584800000000001,0.56275,2.57,0,0,0,0,1.01405788445216,1.01405788445216,6.61093034300014,1191.3,15,29,,0.5,,,,A13,C,0.661197243481979
2.03,0.5,B,A,3276,23.42,10.088325,L,0.582100000000001,0.5675,2.62,0,0,0,0,0.991244830038683,0.991244830038683,6.05973596784546,1191.3,15,29,,0.5,,,,A13,C,1.29880440325792
2.34,0.25,B,A,3276,28.81,10.26027855,L,0.579400000000001,0.57225,2.68,0,0,0,0,0.974632408980748,0.974632408980748,5.51873173836163,1191.3,15,29,,0.5,,,,A13,C,1.49683669043213
1.83,0.26,E,A,3276,31.22,10.4535225,L,0.576700000000001,0.577,2.74,0,0,0,0,0.956615341862038,0.956615341862038,4.99123231276606,1191.3,15,29,,0.5,,,,A13,C,1.17330820165762
2.47,0.06,E,A,3276,31.38,10.660883,L,0.574000000000001,0.58175,2.79,0,0,0,0,0.938008605853755,0.938008605853755,4.38292140016223,1191.3,15,29,,0.5,,,,A13,C,1.58000148789768
2.57,0.03,E,A,3276,25.58,10.815065,L,0.571300000000001,0.5865,2.85,0,0,0,0,0.924636144119337,0.924636144119337,3.90512483795333,1191.3,15,29,,0.5,,,,A13,C,1.64694287950738
2.87,0.44,E,A,3276,29.08,11.06253,L,0.568600000000001,0.591249999999999,2.9,0,0,0,0,0.903952350863681,0.903952350863681,3.46554469023269,1191.3,15,29,,0.5,,,,A13,C,1.83617151326757
2.63,0.35,E,A,3276,25.92,11.21262,L,0.565900000000001,0.595999999999999,2.96,0,0,0,0,0.891852216520314,0.891852216520314,3.08058436014987,1191.3,15,29,,0.5,,,,A13,C,1.68306945196832
1.87,0.41,E,A,3276,28.78,11.390873,L,0.563200000000001,0.600749999999999,3.01,0,0,0,0,0.877895838185537,0.877895838185537,2.77308492477241,1191.3,15,29,,0.5,,,,A13,C,1.19507465671632
2.18,0.35,E,A,3276,19.87,11.606005,L,0.560500000000001,0.605499999999999,3.07,0,0,0,0,0.861622927096792,0.861622927096792,2.57099202643649,1191.3,15,29,,0.5,,,,A13,C,1.39554953669744
2.35,0.21,E,A,3276,17,11.7651325,L,0.557800000000001,0.610249999999999,3.13,0,0,0,0,0.849969177992683,0.849969177992683,2.5,1191.3,15,29,,0.5,,,,A13,C,1.50350593955864
2.65,0.15,E,A,3276,14.2,11.9819745,L,0.5551,0.614999999999999,3.07,0,0,0,0,0.834586987311649,0.834586987311649,2.5,1191.3,15,29,,0.5,,,,A13,C,1.69766051232614
1.99,0.42,E,A,3276,23.56,12.175325,L,0.5524,0.619749999999999,3.02,0,0,0,0,0.821333311431112,0.821333311431112,2.5,1191.3,15,29,,0.5,,,,A13,C,1.2726610874688
2.04,0.48,E,A,3276,29.01,12.375581,L,0.5497,0.624499999999999,2.96,0,0,0,0,0.808042870876123,0.808042870876123,2.5,1191.3,15,29,,0.5,,,,A13,C,1.30682785237752
1.83,0.4,E,A,3276,23.62,12.576032,L,0.547,0.629249999999999,2.91,0,0,0,0,0.79516337108557,0.79516337108557,2.5,1191.3,15,29,,0.5,,,,A13,C,1.16978584710409
3.24,0.4,E,A,3276,35.31,12.765095,L,0.5443,0.634,2.85,0,0,0,0,0.783386257603253,0.783386257603253,2.5,1191.3,15,29,,0.5,,,,A13,C,2.07070106642561
