A,B,E1,E2,E3,F2,F3,F4,G11,G12,G13,G14,G21,G22,G23,G24,G25,G26,G31,G32,G33,G35,J,C_A,C_B,C_C,C_D,C_E,D_A,D_B,F1_A,F1_D,F1_G,F1_H,F1_L,F1_M,H_A1,H_A10,H_A11,H_A12,H_A13,H_A14,H_A15,H_A16,H_A17,H_A18,H_A19,H_A2,H_A20,H_A3,H_A4,H_A5,H_A6,H_A7,H_A8,H_A9,I_A,I_B,I_C,I_D,I_E,I_F,I_G
2.7,2.57,1411,8.0,12.5,0.5,0.59,2.91,20.0,6.0,8.0,42.0,1.56,0.54,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.29600000000018,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.7,2.36,1411,11.0,12.67,0.5,0.59,2.86,20.0,6.0,8.0,42.0,1.54,0.54,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.287999999999968,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.8,2.21,1411,11.5,12.85,0.5,0.6,2.77,20.0,6.0,8.0,42.0,1.52,0.53,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.80000000000028,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,2.21,1411,9.8,13.1,0.5,0.79,2.68,20.0,6.0,8.0,42.0,1.51,0.53,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.719999999999601,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.3,2.08,1411,14.0,13.2,0.5,0.89,2.64,20.0,6.0,8.0,42.0,1.49,0.52,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.647999999999769,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.8,2.13,1411,11.5,13.35,0.5,0.98,2.59,20.0,6.0,8.0,42.0,1.48,0.51,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.08000000000004,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.7,2.17,1411,16.8,13.52,0.5,1.08,2.54,20.0,6.0,8.0,42.0,1.47,0.51,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.00800000000021,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.8,2.11,1411,11.9,13.72,0.5,1.27,2.45,20.0,6.0,8.0,42.0,1.45,0.51,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.432000000000272,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
0.7,2.14,1411,10.1,13.96,0.5,1.36,2.41,20.0,6.0,8.0,42.0,1.44,0.5,5.82,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.0,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2,1.97,1411,16.5,14.2,0.5,1.46,2.36,20.0,6.0,8.0,42.0,1.42,0.5,5.89,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.0720000000004717,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.4,1.71,1411,10.8,14.44,0.5,1.55,2.32,20.0,6.0,8.0,42.0,1.41,0.49,5.99,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,1.29600000000018,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2,1.56,1411,11.2,14.92,0.5,1.74,2.23,20.0,6.0,8.0,42.0,1.4,0.49,6.15,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.72000000000024,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.1,1.58,1411,15.5,15.13,0.5,1.84,2.18,20.0,6.0,8.0,42.0,1.38,0.48,6.65,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.575999999999937,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.0,1.51,1411,14.7,15.38,0.5,1.93,2.14,20.0,6.0,8.0,42.0,1.35,0.47,7.45,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.287999999999968,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
1.2,1.73,1411,25.6,15.73,0.5,2.03,2.09,20.0,6.0,8.0,42.0,1.33,0.46,8.3,10993.0,8.36,53.0,97.4,0.0,0.96,29.0,0.3599999999997999,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
2.2,2.08,1425,11.5,10.14,0.5,0.5,2.5,20.0,6.0,8.0,56.0,1.89,1.04,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,0.72000000000024,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,2.07,1425,2.7,10.19,0.5,0.5,2.54,20.0,6.0,8.0,56.0,1.88,1.03,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1.29599999999954,1,0,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
1.5,2.3,1425,12.1,10.26,0.5,0.51,2.58,20.0,6.0,8.0,56.0,1.87,1.02,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1.80000000000028,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.5,2.92,1425,9.7,10.34,0.5,0.51,2.62,20.0,6.0,8.0,56.0,1.86,1.02,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,3.67199999999976,0,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
4.5,3.2,1425,7.9,10.44,0.5,0.52,2.66,20.0,6.0,8.0,56.0,1.84,1.01,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1.2240000000003401,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.3,3.32,1425,-1.1,10.5,0.5,0.52,2.7,20.0,6.0,8.0,56.0,1.83,1.0,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1.58399999999951,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
2.3,4.11,1425,1.4,10.66,0.5,0.53,2.78,20.0,6.0,8.0,56.0,1.81,0.99,3.71,10993.0,17.6,67.0,31.0,0.0,0.95,43.0,1.58400000000015,0,0,0,0,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
